consent,timestamp,sno,id,quesno,ques_counter,ans,ansval,conf,reac,reas,Cognitive_bias,Generation,Q1_time,Q2_time,Q3_time,Q4_time,factor1,factor2,hint,hint_time,hint_probability
true,"2023-12-01 14:59:52",11394,6569a159661f31.25428346,32,22,phishing,0,100,"Delete this email,Report this email,","Based upon senders email address,Based upon body of the email,Based upon the link/attachment in the email,,","Recency Effect",Human,"Fri Dec 01 2023 14:59:41 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:59:43 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:59:47 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:59:51 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2023-12-01 14:59:10",11393,6569a159661f31.25428346,33,21,phishing,0,100,"Delete this email,Report this email,","Based upon senders email address,Based upon body of the email,Based upon the link/attachment in the email,,","Halo Effect",Human,"Fri Dec 01 2023 14:58:56 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:58:57 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:59:04 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:59:10 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2023-12-01 14:58:35",11392,6569a159661f31.25428346,26,20,genuine,100,100,"Click link/ Open attachment,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,Based upon the link/attachment in the email,,",NA,NA,"Fri Dec 01 2023 14:58:22 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:58:24 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:58:31 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:58:34 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2023-12-01 14:57:58",11391,6569a159661f31.25428346,18,19,phishing,0,100,"Delete this email,Report this email,","Based upon senders email address,Based upon body of the email,Based upon the link/attachment in the email,,","Curiosity Effect",Human,"Fri Dec 01 2023 14:57:47 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:57:49 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:57:55 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:57:57 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2023-12-01 14:57:35",11390,6569a159661f31.25428346,12,18,genuine,100,100,"Read the email and do nothing,","Based upon senders email address,Based upon body of the email,,",NA,NA,"Fri Dec 01 2023 14:57:26 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:57:28 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:57:30 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:57:34 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2023-12-01 14:57:04",11389,6569a159661f31.25428346,22,17,phishing,0,81,"Read the email and do nothing,","Based upon senders email address,Based upon body of the email,,","Attention check_2","Attention check_3","Fri Dec 01 2023 14:56:46 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:56:52 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:56:58 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:57:03 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2023-12-01 14:55:58",11388,6569a159661f31.25428346,24,16,genuine,100,100,"Read the email and do nothing,","Based upon senders email address,Based upon body of the email,,",NA,NA,"Fri Dec 01 2023 14:55:47 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:55:49 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:55:53 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:55:56 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2023-12-01 14:55:33",11387,6569a159661f31.25428346,14,15,genuine,100,100,"Click link/ Open attachment,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,,",NA,NA,"Fri Dec 01 2023 14:55:20 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:55:21 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:55:27 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:55:32 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2023-12-01 14:55:01",11386,6569a159661f31.25428346,19,14,phishing,0,100,"Delete this email,Report this email,","Based upon senders email address,Based upon body of the email,Based upon the link/attachment in the email,,","Hyperbolic Discounting",Human,"Fri Dec 01 2023 14:54:41 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:54:44 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:54:56 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:55:00 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2023-12-01 14:54:06",11385,6569a159661f31.25428346,17,13,genuine,100,100,"Click link/ Open attachment,","Based upon senders email address,Based upon body of the email,,","Authority Bias",Human,"Fri Dec 01 2023 14:53:43 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:53:45 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:53:56 GMT+0530 (India Standard Time)","Fri Dec 01 2023 14:54:04 GMT+0530 (India Standard Time)",0,0,"Not used",,
